50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.790068,,,,,,,,,,,,,,,9757031a-9738-49c1-b305-c84a78b06992,4040,,"[111.7, 80.0]",3869685,106,,,,-1.8937861,8bb8c7b5-9c14-4dfa-9279-0548ee8076db,,,,"[103.6, 55.8]",,High Pass,,25.5196,,,Lionel Andrés Messi Cuccittini,True,,,,Throw-in,4,From Throw In,Gonzalo Ariel Montiel,28263.0,Right Back,226,Argentina,779,['345aea7f-b3f9-40dc-906d-00319b2c9d85'],52,,,,,,,,,,,,,,,Argentina,779,00:01:52.848,Pass,
,,,,,,,,,,,,,,,,,,,,3.564678,,,,,,,,,,,,,,,7b295e01-e4df-4e75-a2d8-765dd4c69722,4046,,"[6.0, 44.0]",3869685,107,,,,0.06091971,,Left Foot,,,"[68.3, 47.8]",,High Pass,,62.415783,Incomplete,,,,,,,Goal Kick,4,From Goal Kick,Hugo Lloris,3099.0,Goalkeeper,227,France,771,['10b2453d-7fc0-466a-bef6-330ed47abb38'],37,,,,,,,,,,,,,,,France,771,00:02:37.482,Pass,
,,,,,,,,,,,,,,,,,,,,2.633993,,,,,,,,,,,,,,,10b2453d-7fc0-466a-bef6-330ed47abb38,4047,,"[51.8, 32.3]",3869685,107,,,,0.6409566,,Head,,,"[64.4, 41.7]",,High Pass,,15.720051,Incomplete,,,,,,,Recovery,4,From Goal Kick,Lautaro Javier Martínez,11456.0,Center Forward,227,France,771,"['1877574b-ed9f-4111-9da4-aae77dba075e', '7b295e01-e4df-4e75-a2d8-765dd4c69722']",41,,,,,,,,,,,,,,,Argentina,779,00:02:41.047,Pass,
,,,,,,,,,,,,,,,,,,,,0.82802,,,,,,,,,,,,,,,1877574b-ed9f-4111-9da4-aae77dba075e,4048,,"[55.7, 38.4]",3869685,107,,,,-0.018689413,,Other,,,"[66.4, 38.2]",,Low Pass,,10.701869,,,Aurélien Djani Tchouaméni,,,,,Recovery,4,From Goal Kick,Dayotchanculle Upamecano,8519.0,Left Center Back,227,France,771,"['10b2453d-7fc0-466a-bef6-330ed47abb38', '84b65c3b-979d-438e-a746-952938f2e899']",43,,,,,,,,,,,,,,,France,771,00:02:43.681,Pass,
,,,,,,,,,,,,,,,,,,,,1.200409,,,,,,,,,,,,,,,2728c5ff-46f6-4d67-82d7-e2fbd1786258,4050,,"[66.4, 38.2]",3869685,107,,,,-0.1367557,,Right Foot,,,"[77.3, 36.7]",,Low Pass,,11.002727,Incomplete,,,,,,,,4,From Goal Kick,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,227,France,771,['468e755e-fd87-4d95-a529-fdad284c33e0'],44,,,,,,,,,,,,,,,France,771,00:02:44.509,Pass,
,,,,,,,,,,,,,,,,,,,,2.691088,,,,,,,,,,,,,,,e27001dc-9fc9-40f0-a275-e2b141681679,4053,,"[43.2, 46.2]",3869685,107,,,,0.890626,,Right Foot,,,"[63.1, 70.8]",,High Pass,,31.64127,,,Gonzalo Ariel Montiel,,,,,,4,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,228,Argentina,779,['ee4871b9-85b3-4520-9dc5-36d15076e809'],46,,,,,,,,,,,,,,,Argentina,779,00:02:46.501,Pass,
,,,,,,,,,,,,,,,,,,,,2.840159,,,,,,,,,,,,,,,5b2185f1-d589-44aa-a5ec-2b6de64ee80b,4056,,"[64.2, 74.0]",3869685,107,,,,-0.5305579,,Right Foot,,,"[94.2, 56.4]",,High Pass,,34.781605,,,Lautaro Javier Martínez,,,,,,4,Regular Play,Gonzalo Ariel Montiel,28263.0,Right Back,228,Argentina,779,['3c5bbf4b-c4e2-4eba-9037-9a713995db42'],50,,,,,,,,,,,,,,,Argentina,779,00:02:50.184,Pass,
,,,,,,,,,,,,,,,,,,,,0.87995,,,,,,,,,,,,,,,9aab98f8-19a8-49bd-982e-85f635511aa9,4058,,"[94.2, 56.4]",3869685,107,,,,2.4668517,,Right Foot,,,"[91.2, 58.8]",,Ground Pass,,3.8418746,,,Lionel Andrés Messi Cuccittini,,,,,,4,Regular Play,Lautaro Javier Martínez,11456.0,Center Forward,228,Argentina,779,['17f637a9-0ff2-4759-9aaa-c152082e07e3'],53,,,,,,,,,,,,,,,Argentina,779,00:02:53.024,Pass,
,,,,,,,,,,,,,,,,,,,,0.86289,,,,,,,,,,,,,,,74ad03c8-74f3-45ee-b3f7-44d834327969,4061,,"[91.2, 58.8]",3869685,107,,,,-1.1505996,,Right Foot,,,"[95.4, 49.4]",,Ground Pass,,10.29563,,,Enzo Fernandez,,,,,,4,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,228,Argentina,779,['a4b052bf-eec2-4ba8-b747-30fe5f544ce9'],53,,,,,,,,,,,,,,,Argentina,779,00:02:53.932,Pass,
,,,,,,,,,,,,,,,,,,,,1.185946,,,,,,,,,,,,,,,25ac6afd-9d87-4d4a-a79d-13d413233505,4064,,"[95.4, 49.4]",3869685,107,,,,0.494799,40cbfd91-87d9-4df8-a575-533b5c26767f,Right Foot,,,"[109.3, 56.9]",,Ground Pass,,15.794303,,,Lautaro Javier Martínez,True,,,,,4,Regular Play,Enzo Fernandez,38718.0,Right Center Midfield,228,Argentina,779,['bad0d76d-c036-4f2e-8a2d-c94a910df8b5'],54,,,,,,,,,,,,,,,Argentina,779,00:02:54.836,Pass,
